	step	epoch	lr	loss_step	accuracy_step	params_norm_step	logits_norm_step	grads_norm_step	mu_norm_step	nu_norm_step	sharpness_step	n_iter	attempt	pre_sharpness_step	pre_n_iter	pre_attempt	num_params
0	1.0	1.0	9.765625e-07	0.5552643707997867	0.07819999754428864	55.53586959838867	3.2197890281677246	5.544979095458984	0.0	0.7548216581344604	49.48583441848094	5.0	0.0	41069.94833176312	6.0	2.0	2103818
1	2.0	1.0	1.9531249999999996e-06	0.5551798660138924	0.07819999754428864	55.53586959838867	3.21952748298645	5.544267177581787	0.554498016834259	0.7548216581344604	49.4847662633636	5.0	0.0	32464.77384387299	6.0	0.0	2103818
2	3.0	1.0	2.9296875e-06	0.5549202630798034	0.07800000160932541	55.53586959838867	3.2187092304229736	5.542133808135986	1.053475022315979	0.7548214197158813	44.79291466148943	3.0	0.0	29126.330115115863	4.0	7.0	2103818
3	4.0	1.0	3.90625e-06	0.5544160001341628	0.07819999754428864	55.53586959838867	3.2171130180358887	5.537849426269531	1.5023409128189087	0.754820704460144	49.07322000931526	8.0	0.0	19383.33157621444	1000.0	10.0	2103818
4	5.0	1.0	4.8828125e-06	0.5536617088711584	0.07819999754428864	55.535865783691406	3.214750289916992	5.531802654266357	1.9058917760849	0.754818856716156	46.35637627049561	3.0	0.0	14428.715471082012	7.0	1.0	2103818
5	6.0	1.0	5.859375e-06	0.5526171736294181	0.07800000160932541	55.53586196899414	3.2114510536193848	5.523113250732422	2.2684826850891113	0.754815399646759	46.34360756798242	3.0	0.0	12334.635425811899	7.0	0.0	2103818
6	7.0	1.0	6.8359375e-06	0.551228009270422	0.07800000160932541	55.53585433959961	3.207069158554077	5.511470317840576	2.5939455032348633	0.7548097372055054	46.32807441097509	3.0	0.0	11165.459782052005	6.0	0.0	2103818
7	8.0	1.0	7.8125e-06	0.5494911246000047	0.07800000160932541	55.53584671020508	3.2015960216522217	5.496926784515381	2.88569712638855	0.7548009753227234	46.30737418422971	3.0	0.0	10522.034199436948	6.0	0.0	2103818
8	9.0	1.0	8.789062500000001e-06	0.5474284029216908	0.07800000160932541	55.53583908081055	3.195065975189209	5.479795932769775	3.1468188762664795	0.7547885179519653	46.282863718279195	3.0	0.0	10023.90345967884	6.0	0.0	2103818
9	10.0	1.0	9.765625e-06	0.5449977532077825	0.07819999754428864	55.535823822021484	3.18735671043396	5.459418296813965	3.380115270614624	0.7547715902328491	46.252984470343314	3.0	0.0	9648.16260600416	6.0	0.0	2103818
10	11.0	1.0	1.07421875e-05	0.5421632215124143	0.07840000092983246	55.53581619262695	3.1783363819122314	5.435481548309326	3.588043212890625	0.754749596118927	46.21805999839417	3.0	0.0	9363.010392531283	6.0	0.0	2103818
11	12.0	1.0	1.1718750000000002e-05	0.5388440180310801	0.07859999686479568	55.53580093383789	3.1677517890930176	5.407589912414551	3.7727832794189453	0.7547214031219482	46.17890681299796	3.0	0.0	9132.133168683917	6.0	0.0	2103818
12	13.0	1.0	1.2695312500000001e-05	0.5350635257445924	0.07899999618530273	55.53578186035156	3.1556475162506104	5.375772476196289	3.9362587928771973	0.7546861171722412	46.136401995187825	3.0	0.0	8929.944410982067	6.0	0.0	2103818
13	14.0	1.0	1.3671875e-05	0.5309235568313201	0.07919999957084656	55.5357666015625	3.1423065662384033	5.340531826019287	4.080203056335449	0.7546427845954895	46.08350625353827	3.0	0.0	8714.450222617517	6.0	0.0	2103818
14	15.0	1.0	1.46484375e-05	0.5263296539222222	0.07880000025033951	55.53574752807617	3.1274194717407227	5.301433086395264	4.206226348876953	0.7545906901359558	46.02753250789034	3.0	0.0	8547.62806795865	6.0	0.0	2103818
15	16.0	1.0	1.5625e-05	0.5213207853231416	0.07939999550580978	55.53572463989258	3.111131191253662	5.2582526206970215	4.315733432769775	0.754528820514679	45.96712526279079	3.0	0.0	8395.171513840662	6.0	0.0	2103818
16	17.0	1.0	1.66015625e-05	0.5158750456151803	0.07959999889135361	55.53569793701172	3.0933377742767334	5.211422920227051	4.409968852996826	0.7544564008712769	45.902134821203425	3.0	0.0	8277.29491201108	6.0	0.0	2103818
17	18.0	1.0	1.7578125000000002e-05	0.5100058181284399	0.07999999821186066	55.53567123413086	3.0740036964416504	5.160721302032471	4.4900922775268555	0.7543724179267883	45.83108023436743	3.0	0.0	8172.105175493405	6.0	0.0	2103818
18	19.0	1.0	1.85546875e-05	0.5036347226937293	0.08020000159740448	55.53564453125	3.052854299545288	5.105616092681885	4.557127475738525	0.7542761564254761	45.756531997590756	3.0	0.0	8070.134656426853	6.0	0.0	2103818
19	20.0	1.0	1.953125e-05	0.4968849402395672	0.0803999975323677	55.53561019897461	3.0303592681884766	5.0465497970581055	4.611941337585449	0.7541664838790894	45.6797769835097	3.0	0.0	7986.113138561884	6.0	0.0	2103818
